anchor_label,row,col,easting,northing,score,in_building,cluster_size,anchor_lat,anchor_lon,Rango,building_name,building_type,Latitud,Longitud,dist_to_road_m,dist_to_building_m,lat,lon,nearest_zone
Multifamiliares,177,180,814490.8000139565,10044601.367188958,0.9877725542967986,True,530,0.4026957478287291,-78.17507791552728,1,—,—,0.403029,-78.174834,21.604676603384675,3.4676975877037237,0.40302875497181845,-78.17483424798094,Campus Principal
SENESCYT,159,208,815006.8209318982,10044933.083355404,0.984067046859076,True,727,0.4068123148712263,-78.17021432201662,2,UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL  YACHAY,university,0.406025,-78.170201,2.605068838116171,0.0,0.40602458946594455,-78.17020142895487,Campus Principal
Caballerizas,168,174,814380.2241029689,10044767.22527218,0.9788906156518472,True,536,0.4045801458845306,-78.17591861919236,3,—,—,0.404528,-78.175826,38.11033640434651,2.3726079099612165,0.4045278362950094,-78.17582625710787,Campus Principal
Labs,182,188,814638.2345619398,10044509.223809391,0.9623345113410756,True,533,0.4038959054357978,-78.17244073251689,4,—,—,0.402196,-78.173511,44.80923890974646,2.9930132671654484,0.40219566377190163,-78.17351116732905,Campus Principal
Biblioteca,165,184,814564.5172879482,10044822.51129992,0.8462522906196297,True,534,0.4051175903465887,-78.1741360644638,5,Biblioteca,yes,0.405027,-78.174172,17.219020704786775,0.0,0.40502683356064245,-78.17417187308133,Campus Principal
Sport Fields,181,188,814638.2345619398,10044527.652485304,0.8028156715685042,False,531,0.4023889810638366,-78.17231156436854,6,—,—,0.402362,-78.173511,26.61014345411338,19.242900701234717,0.40236218949774594,-78.17351110998868,Campus Principal
SENESCYT,153,207,814988.3916134003,10045043.655410886,0.65297991636079,False,727,0.4068123148712263,-78.17021432201662,7,—,—,0.407024,-78.170367,16.1040054122402,71.74310099390418,0.40702379941486694,-78.17036650134665,Campus Principal
Jardin Botanico,86,103,813071.7424896167,10046278.376697095,0.5846190864331622,False,531,0.4183386970866529,-78.18790548627916,8,—,—,0.418187,-78.187566,100.29022021300638,410.8053211555132,0.41818722126921387,-78.18756643902054,Jardín Botánico
Innopolis,76,88,812795.3027121479,10046462.663456231,0.5715717214064941,False,534,0.4198408173307644,-78.18990836679563,9,—,—,0.419853,-78.190047,14.0181091925642,235.5973306065284,0.4198533975635303,-78.190047195564,Innopolis / C. Emprendimiento
